SKU;GRUPO;FAMILIA;TITULO;COLOR;URL_SKU1
4074405-223;PDA;POLERAS;POLERA ENTALLADA, LUREX, BEIGE;BEIGE;https://liolaweb.cl/223/4074405_1.jpg
4075422-223;OUTERWEAR;CHAQUETAS;CHAQUETA TIPO SOBRECAMISA, MUFLÓN MELANGE, CAFÉ;CAFÉ;https://liolaweb.cl/223/4075422_1.jpg
4076212-223;PDA;POLERAS;POLERA  ALGODÓN RIBB CON BOTÓN JOYA, CRUDO;CRUDO;https://liolaweb.cl/223/4076212_1.jpg
4077011-223;BOTTOMS;PANTALONES;PANTALÓN RECTO TIRO ALTO, NEGRO;NEGRO;https://liolaweb.cl/223/4077011_1.jpg
4081422-223;BOTTOMS;PANTALONES;PANTALÓN CROPPED PRÍNCIPE DE GALES, CAFÉ;CAFÉ;https://liolaweb.cl/223/4081422_1.jpg
4082211-223;PDA;POLERAS;POLERA ESTAMPADO TEXTO BICOLOR, BLANCO;BLANCO;https://liolaweb.cl/223/4082211_1.jpg
4084011-223;OUTERWEAR;CHAQUETONES;CHAQUETÓN CLÁSICO MUFLÓN NEGRO, FORRO ESTAMPADO;NEGRO;https://liolaweb.cl/223/4084011_1.jpg
4085011-223;OUTERWEAR;CHAQUETAS;CHAQUETA BIKER LARGA, EFECTO CUERO GRANULADO, NEGRO;NEGRO;https://liolaweb.cl/223/4085011_1.jpg
4085222-223;OUTERWEAR;CHAQUETAS;CHAQUETA BIKER LARGA, EFECTO CUERO GRANULADO, CHOCOLATE;CHOCOLATE;https://liolaweb.cl/223/4085222_1.jpg
4086222-223;OUTERWEAR;CHAQUETAS;BLAZER ENTALLADO EFECTO CUERO, CHOCOLATE;CHOCOLATE;https://liolaweb.cl/223/4086222_1.jpg
4087221-223;PDA;POLERAS;POLERA ESTAMPADO TACHAS, CAFÉ;CAFÉ;https://liolaweb.cl/223/4087221_1.jpg
4090222-223;BOTTOMS;PANTALONES;PANTALÓN SASTRE, TIRO ALTO, CHOCOLATE;CHOCOLATE;https://liolaweb.cl/223/4090222_1.jpg
4091011-223;BOTTOMS;PANTALONES;PANTALÓN ANCHO CON CINTURÓN, NEGRO;NEGRO;https://liolaweb.cl/223/4091011_1.jpg
4091222-223;BOTTOMS;PANTALONES;PANTALÓN ANCHO CON CINTURÓN, CHOCOLATE;CHOCOLATE;https://liolaweb.cl/223/4091222_1.jpg
4094322-223;PDA;POLERAS;POLERA ESTAMPADO ANIMAL CON BOTÓN JOYA, CAFÉ;CAFÉ;https://liolaweb.cl/223/4094322_1.jpg
4094328-223;PDA;POLERAS;POLERA ESTAMPADO ANIMAL CON BOTÓN JOYA, GRIS;GRIS;https://liolaweb.cl/223/4094328_1.jpg
4097222-223;BOTTOMS;PANTALONES;PANTALÓN PITILLO TIRO MEDIO, CHOCOLATE;CHOCOLATE;https://liolaweb.cl/223/4097222_1.jpg
4099081-223;PDA;TEJIDOS;JERSEY TEJIDO CUELLO ALTO, DETALLES LUREX, VERDE;VERDE;https://liolaweb.cl/223/4099081_1.jpg
4099222-223;PDA;TEJIDOS;JERSEY TEJIDO CUELLO ALTO, DETALLES LUREX, CHOCOLATE;CHOCOLATE;https://liolaweb.cl/223/4099222_1.jpg
4103301-223;PDA;POLERAS;POLERA ESTAMPADA LEOPARDO, NEGRO;NEGRO;https://liolaweb.cl/223/4103301_1.jpg
4105457-223;OUTERWEAR;ABRIGOS;ABRIGO  LARGO ENTALLADO ESCOCES AZUL;AZUL;https://liolaweb.cl/223/4105457_1.jpg
4109212-223;BOTTOMS;PANTALONES;JEANS COLOR SLIM, TIRO MEDIO, CRUDO;CRUDO;https://liolaweb.cl/223/4109212_1.jpg
4113305-223;PDA;POLERAS;POLERA ESTAMPADO ANIMAL, BEIGE;BEIGE;https://liolaweb.cl/223/4113305_1.jpg
4113328-223;PDA;POLERAS;POLERA ESTAMPADO ANIMAL, GRIS;GRIS;https://liolaweb.cl/223/4113328_1.jpg
4114401-223;OUTERWEAR;PARKAS;PARKA METALIZADA CON CAPUCHÓN Y RODÓN DE PIEL, NEGRO;NEGRO;https://liolaweb.cl/223/4114401_1.jpg
4116021-223;PDA;TEJIDOS;JERSEY TEJIDO DETALLE LUREX, ROJO;ROJO;https://liolaweb.cl/223/4116021_1.jpg
4116405-223;PDA;TEJIDOS;JERSEY TEJIDO DETALLE LUREX, BEIGE;BEIGE;https://liolaweb.cl/223/4116405_1.jpg
4120576-223;PDA;BLUSAS;BLUSA CAMISERA STRASS, CELESTE;CELESTE;https://liolaweb.cl/223/4120576_1.jpg
4122011-223;BOTTOMS;FALDAS;FALDA AJUSTADA A LA RODILLA EFECTO CUERO, NEGRO;NEGRO;https://liolaweb.cl/223/4122011_1.jpg
4123301-223;PDA;BLUSAS;BLUSA CAMISERA SATÍN ESTAMPADO CEBRA, NEGRO;NEGRO;https://liolaweb.cl/223/4123301_1.jpg
4123322-223;PDA;BLUSAS;BLUSA CAMISERA SATÍN ESTAMPADO CEBRA, CAFÉ;CAFÉ;https://liolaweb.cl/223/4123322_1.jpg
4127022-223;PDA;POLERAS;POLERA ESCOTE DRAPEADO, FRESA;FRESA;https://liolaweb.cl/223/4127022_1.jpg
4127428-223;PDA;POLERAS;POLERA ESCOTE DRAPEADO, GRIS;GRIS;https://liolaweb.cl/223/4127428_1.jpg
4132301-223;PDA;BLUSAS;BLUSA CAMISERA SATÍN ESTAMPADO, NEGRO FONDO BEIGE;NEGRO;https://liolaweb.cl/223/4132301_1.jpg
4133301-223;PDA;BLUSAS;BLUSA CAMISERA GASA ESTAMPADA LUREX, NEGRO;NEGRO;https://liolaweb.cl/223/4133301_1.jpg
4134011-223;PDA;BLUSAS;BLUSA CAMISERA FLUIDA, NEGRO;NEGRO;https://liolaweb.cl/223/4134011_1.jpg
4134023-223;PDA;BLUSAS;BLUSA CAMISERA FLUIDA, FUCSIA;FUCSIA;https://liolaweb.cl/223/4134023_1.jpg
4134212-223;PDA;BLUSAS;BLUSA CAMISERA FLUIDA, CRUDO;CRUDO;https://liolaweb.cl/223/4134212_1.jpg
4135572-223;PDA;BLUSAS;BLUSA CAMISERA LYOCELL, AZUL;AZUL;https://liolaweb.cl/223/4135572_1.jpg
4139301-223;BOTTOMS;VESTIDOS;VESTIDO MIDI ESTAMPADO, NEGRO;NEGRO;https://liolaweb.cl/223/4139301_1.jpg
4141022-223;BOTTOMS;PANTALONES;PANTALÓN ANCHO CON CINTURÓN, FRESA;FRESA;https://liolaweb.cl/223/4141022_1.jpg
4148011-223;BOTTOMS;VESTIDOS;VESTIDO CANALÉ TEJIDO LARGO, NEGRO;NEGRO;https://liolaweb.cl/223/4148011_1.jpg
4150011-400;PDA;BLUSAS;BLUSA CAMISERA ENTALLADA, NEGRO;NEGRO;https://liolaweb.cl/223/4150011_1.jpg
4153081-223;PDA;BLUSAS;BLUSA CUELLO MAO, BOTÓN JOYA, ;VERDE;https://liolaweb.cl/223/4153081_1.jpg
7617011-400;PDA;TOPS;TOP PABILO VISCOSA, APLICACIÓN SATÍN, NEGRO;NEGRO;https://liolaweb.cl/223/7617011_1.jpg
7617051-400;PDA;TOPS;TOP PABILO VISCOSA, APLICACIÓN SATÍN, BEIGE;BEIGE;https://liolaweb.cl/223/7617051_1.jpg
9793212-400;BOTTOMS;PANTALONES;JEANS RECTO, TIRO MEDIO, TACHAS, CRUDO;CRUDO;https://liolaweb.cl/223/9793212_1.jpg
4160305-223;;PANTALONES;PANTALÓN ANCHO Estampado BEIGE LIOLA;BEIGE;https://liolaweb.cl/223/4160305_1.jpg
4161322-223;;PANTALONES;PANTALÓN ANCHO Estampado CAFÉ LIOLA;CAFÉ;https://liolaweb.cl/223/4161322_1.jpg
4162357-223;;PANTALONES;PANTALÓN ANCHO Estampado AZUL LIOLA;AZUL;https://liolaweb.cl/223/4162357_1.jpg
4164305-223;;TAPADOS;TAPADO Estampado BEIGE LIOLA;BEIGE;https://liolaweb.cl/223/4164305_1.jpg
4165357-223;;TAPADOS;TAPADO Estampado AZUL LIOLA;AZUL;https://liolaweb.cl/223/4165357_1.jpg
4166301-223;;ENTERITOS;ENTERITO FLARE Estampado NEGRO LIOLA;NEGRO;https://liolaweb.cl/223/4166301_1.jpg
4167224-223;;VESTIDOS;VESTIDO RODILLA Fantasia CAMEL LIOLA;CAMEL;https://liolaweb.cl/223/4167224_1.jpg
4168308-223;;VESTIDOS;VESTIDO RODILLA Estampado VERDE LIOLA;VERDE;https://liolaweb.cl/223/4168308_1.jpg
4169353-223;;VESTIDOS;VESTIDO RODILLA Estampado ROSA LIOLA;ROSA;https://liolaweb.cl/223/4169353_1.jpg
4171023-223;;BLUSAS;BLUSA REDONDO Liso FUCSIA LIOLA;FUCSIA;https://liolaweb.cl/223/4171023_1.jpg
4171081-223;;BLUSAS;BLUSA REDONDO Liso VERDE LIOLA;VERDE;https://liolaweb.cl/223/4171081_1.jpg
4171534-223;;BLUSAS;BLUSA REDONDO Liso LILA LIOLA;LILA;https://liolaweb.cl/223/4171534_1.jpg
4172308-223;;BLUSAS;BLUSA CAMISERO Estampado VERDE LIOLA;VERDE;https://liolaweb.cl/223/4172308_1.jpg
4173357-223;;BLUSAS;BLUSA CAMISERO Estampado AZUL LIOLA;AZUL;https://liolaweb.cl/223/4173357_1.jpg
4174301-223;;BLUSAS;BLUSA CAMISERO Estampado NEGRO LIOLA;NEGRO;https://liolaweb.cl/223/4174301_1.jpg
4175322-223;;BLUSAS;BLUSA CAMISERO Estampado CAFÉ LIOLA;CAFÉ;https://liolaweb.cl/223/4175322_1.jpg
4177081-223;;POLERAS;POLERA MANGA LARGA Fantasia VERDE LIOLA;VERDE;https://liolaweb.cl/223/4177081_1.jpg
4177131-223;;POLERAS;POLERA MANGA LARGA Fantasia NARANJO LIOLA;NARANJO;https://liolaweb.cl/223/4177131_1.jpg
4178413-223;;PANTALONES;PANTALÓN FLARE Fantasia NARANJO LIOLA;NARANJO;https://liolaweb.cl/223/4178413_1.jpg
4179413-223;;TAPADOS;TAPADO Fantasia NARANJO LIOLA;NARANJO;https://liolaweb.cl/223/4179413_1.jpg
4180084-223;;BLUSAS;BLUSA CAMISERO Liso PISTACHO LIOLA;PISTACHO;https://liolaweb.cl/223/4180084_1.jpg
4180224-223;;BLUSAS;BLUSA CAMISERO Liso CAMEL LIOLA;CAMEL;https://liolaweb.cl/223/4180224_1.jpg
4180572-223;;BLUSAS;BLUSA CAMISERO Liso AZUL LIOLA;AZUL;https://liolaweb.cl/223/4180572_1.jpg
4181023-223;;BLUSAS;BLUSA V Liso FUCSIA LIOLA;FUCSIA;https://liolaweb.cl/223/4181023_1.jpg
